cbsa_cd,cbsa_abbr,cbsa_name
22520,FLO,"Florence-Muscle Shoals, AL (MSA)"
22420,FLT,"Flint, MI (MSA)"
22140,FMT,"Farmington, NM (MSA)"
38940,FPR,"Port St. Lucie, FL (MSA)"
23420,FRE,"Fresno, CA (MSA)"
22500,FRN,"Florence, SC (MSA)"
15980,FTM,"Cape Coral-Fort Myers, FL (MSA)"
22900,FTS,"Fort Smith, AR-OK (MSA)"
23060,FWA,"Fort Wayne, IN (MSA)"
18880,FWB,"Crestview-Fort Walton Beach-Destin, FL (MSA)"
23460,GAD,"Gadsden, AL (MSA)"
23580,GAI,"Gainesville, GA (MSA)"
24500,GFL,"Great Falls, MT (MSA)"
24020,GLN,"Glens Falls, NY (MSA)"
24580,GNB,"Green Bay, WI (MSA)"
24660,GNS,"Greensboro-High Point, NC (MSA)"
24860,GNV,"Greenville-Anderson-Mauldin, SC (MSA)"
24780,GRE,"Greenville, NC (MSA)"
24220,GRF,"Grand Forks, ND-MN (MSA)"
24260,GRI,"Grand Island, NE (MSA)"
24300,GRJ,"Grand Junction, CO (MSA)"
24540,GRL,"Greeley, CO (MSA)"
24140,GRO,"Goldsboro, NC (MSA)"
24420,GRP,"Grants Pass, OR (MSA)"
24340,GRR,"Grand Rapids-Wyoming, MI (MSA)"
23900,GTY,"Gettysburg, PA (MSA)"
23540,GVL,"Gainesville, FL (MSA)"
25020,GYM,"Guayama, PR (MSA)"
25220,HAM,"Hammond, LA (MSA)"
25420,HAR,"Harrisburg-Carlisle, PA (MSA)"
25620,HAT,"Hattiesburg, MS (MSA)"
25500,HAV,"Harrisonburg, VA (MSA)"
25980,HFS,"Hinesville, GA (MSA)"
25180,HGM,"Hagerstown-Martinsburg, MD-WV (MSA)"
25940,HHI,"Hilton Head Island-Bluffton-Beaufort, SC (MSA)"
25860,HIC,"Hickory-Lenoir-Morganton, NC (MSA)"
26580,HNA,"Huntington-Ashland, WV-KY-OH (MSA)"
25260,HNC,"Hanford-Corcoran, CA (MSA)"
26140,HOM,"Homosassa Springs, FL (MSA)"
26380,HOU,"Houma-Thibodaux, LA (MSA)"
26300,HSP,"Hot Springs, AR (MSA)"
25540,HTF,"Hartford-West Hartford-East Hartford, CT (MSA)"
26420,HTN,"Houston-The Woodlands-Sugar Land, TX (MSA)"
26620,HUN,"Huntsville, AL (MSA)"
26820,IDF,"Idaho Falls, ID (MSA)"
26900,IND,"Indianapolis-Carmel-Anderson, IN (MSA)"
26980,IOC,"Iowa City, IA (MSA)"
27060,ITH,"Ithaca, NY (MSA)"
27180,JAC,"Jackson, TN (MSA)"
27100,JAK,"Jackson, MI (MSA)"
27140,JAS,"Jackson, MS (MSA)"
27260,JAX,"Jacksonville, FL (MSA)"
27340,JCV,"Jacksonville, NC (MSA)"
27620,JEF,"Jefferson City, MO (MSA)"
27780,JHN,"Johnstown, PA (MSA)"
27740,JKD,"Johnson City, TN (MSA)"
27500,JNB,"Janesville-Beloit, WI (MSA)"
27900,JOP,"Joplin, MO (MSA)"
27860,JOR,"Jonesboro, AR (MSA)"
28020,KAL,"Kalamazoo-Portage, MI (MSA)"
28100,KAN,"Kankakee, IL (MSA)"
27980,KAW,"Kahului-Wailuku-Lahaina, HI (MSA)"
28740,KGN,"Kingston, NY (MSA)"
28660,KIL,"Killeen-Temple, TX (MSA)"
28700,KIN,"Kingsport-Bristol-Bristol, TN-VA (MSA)"
28140,KNC,"Kansas City, MO-KS (MSA)"
28940,KNX,"Knoxville, TN (MSA)"
29020,KOK,"Kokomo, IN (MSA)"
29540,LAC,"Lancaster, PA (MSA)"
29620,LAN,"Lansing-East Lansing, MI (MSA)"
30020,LAT,"Lawton, OK (MSA)"
29940,LAW,"Lawrence, KS (MSA)"
