cbsa_code,cbsa_name,ct_code,ct_name,msa
45740,"Toccoa, GA",13257,"Stephens County, Georgia",0
45780,"Toledo, OH",39051,"Fulton County, Ohio",1
45780,"Toledo, OH",39095,"Lucas County, Ohio",1
45780,"Toledo, OH",39173,"Wood County, Ohio",1
45820,"Topeka, KS",20085,"Jackson County, Kansas",1
45820,"Topeka, KS",20087,"Jefferson County, Kansas",1
45820,"Topeka, KS",20139,"Osage County, Kansas",1
45820,"Topeka, KS",20177,"Shawnee County, Kansas",1
45820,"Topeka, KS",20197,"Wabaunsee County, Kansas",1
45860,"Torrington, CT",9160,"Northwest Hills Planning Region, Connecticut",0
45880,"Town of Pecos, TX",48389,"Reeves County, Texas",0
45900,"Traverse City, MI",26019,"Benzie County, Michigan",1
45900,"Traverse City, MI",26055,"Grand Traverse County, Michigan",1
45900,"Traverse City, MI",26079,"Kalkaska County, Michigan",1
45900,"Traverse City, MI",26089,"Leelanau County, Michigan",1
45940,"Trenton-Princeton, NJ",34021,"Mercer County, New Jersey",1
45980,"Troy, AL",1109,"Pike County, Alabama",0
46020,"Truckee-Grass Valley, CA",6057,"Nevada County, California",0
46060,"Tucson, AZ",4019,"Pima County, Arizona",1
46100,"Tullahoma-Manchester, TN",47031,"Coffee County, Tennessee",0
46100,"Tullahoma-Manchester, TN",47127,"Moore County, Tennessee",0
46140,"Tulsa, OK",40037,"Creek County, Oklahoma",1
46140,"Tulsa, OK",40111,"Okmulgee County, Oklahoma",1
46140,"Tulsa, OK",40113,"Osage County, Oklahoma",1
46140,"Tulsa, OK",40117,"Pawnee County, Oklahoma",1
46140,"Tulsa, OK",40131,"Rogers County, Oklahoma",1
46140,"Tulsa, OK",40143,"Tulsa County, Oklahoma",1
46140,"Tulsa, OK",40145,"Wagoner County, Oklahoma",1
46180,"Tupelo, MS",28057,"Itawamba County, Mississippi",0
46180,"Tupelo, MS",28081,"Lee County, Mississippi",0
46180,"Tupelo, MS",28117,"Prentiss County, Mississippi",0
46220,"Tuscaloosa, AL",1063,"Greene County, Alabama",1
46220,"Tuscaloosa, AL",1065,"Hale County, Alabama",1
46220,"Tuscaloosa, AL",1107,"Pickens County, Alabama",1
46220,"Tuscaloosa, AL",1125,"Tuscaloosa County, Alabama",1
46300,"Twin Falls, ID",16053,"Jerome County, Idaho",1
46300,"Twin Falls, ID",16083,"Twin Falls County, Idaho",1
46340,"Tyler, TX",48423,"Smith County, Texas",1
46380,"Ukiah, CA",6045,"Mendocino County, California",0
46460,"Union City, TN",47131,"Obion County, Tennessee",0
46500,"Urbana, OH",39021,"Champaign County, Ohio",0
46520,"Urban Honolulu, HI",15003,"Honolulu County, Hawaii",1
46540,"Utica-Rome, NY",36043,"Herkimer County, New York",1
46540,"Utica-Rome, NY",36065,"Oneida County, New York",1
46580,"Utuado, PR",72141,"Utuado Municipio, Puerto Rico",0
46620,"Uvalde, TX",48463,"Uvalde County, Texas",0
46660,"Valdosta, GA",13027,"Brooks County, Georgia",1
46660,"Valdosta, GA",13101,"Echols County, Georgia",1
46660,"Valdosta, GA",13173,"Lanier County, Georgia",1
46660,"Valdosta, GA",13185,"Lowndes County, Georgia",1
46700,"Vallejo, CA",6095,"Solano County, California",1
46780,"Van Wert, OH",39161,"Van Wert County, Ohio",0
46820,"Vermillion, SD",46027,"Clay County, South Dakota",0
46860,"Vernal, UT",49047,"Uintah County, Utah",0
46900,"Vernon, TX",48487,"Wilbarger County, Texas",0
46980,"Vicksburg, MS",28149,"Warren County, Mississippi",0
47020,"Victoria, TX",48175,"Goliad County, Texas",1
47020,"Victoria, TX",48469,"Victoria County, Texas",1
47080,"Vidalia, GA",13209,"Montgomery County, Georgia",0
47080,"Vidalia, GA",13279,"Toombs County, Georgia",0
47180,"Vincennes, IN",18083,"Knox County, Indiana",0
47220,"Vineland, NJ",34011,"Cumberland County, New Jersey",1
47240,"Vineyard Haven, MA",25007,"Dukes County, Massachusetts",0
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",37029,"Camden County, North Carolina",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",37053,"Currituck County, North Carolina",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",37073,"Gates County, North Carolina",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51073,"Gloucester County, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51093,"Isle of Wight County, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51095,"James City County, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51115,"Mathews County, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51181,"Surry County, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51199,"York County, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51550,"Chesapeake city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51650,"Hampton city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51700,"Newport News city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51710,"Norfolk city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51735,"Poquoson city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51740,"Portsmouth city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51800,"Suffolk city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51810,"Virginia Beach city, Virginia",1
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",51830,"Williamsburg city, Virginia",1
47300,"Visalia, CA",6107,"Tulare County, California",1
47340,"Wabash, IN",18169,"Wabash County, Indiana",0
47380,"Waco, TX",48035,"Bosque County, Texas",1
47380,"Waco, TX",48145,"Falls County, Texas",1
47380,"Waco, TX",48309,"McLennan County, Texas",1
47420,"Wahpeton, ND-MN",27167,"Wilkin County, Minnesota",0
47420,"Wahpeton, ND-MN",38077,"Richland County, North Dakota",0
47460,"Walla Walla, WA",53071,"Walla Walla County, Washington",1
47540,"Wapakoneta, OH",39011,"Auglaize County, Ohio",0
47580,"Warner Robins, GA",13153,"Houston County, Georgia",1
47580,"Warner Robins, GA",13225,"Peach County, Georgia",1
47620,"Warren, PA",42123,"Warren County, Pennsylvania",0
47660,"Warrensburg, MO",29101,"Johnson County, Missouri",0
47700,"Warsaw, IN",18085,"Kosciusko County, Indiana",0
47780,"Washington, IN",18027,"Daviess County, Indiana",0
47820,"Washington, NC",37013,"Beaufort County, North Carolina",0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11001,"District of Columbia, District of Columbia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24017,"Charles County, Maryland",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24021,"Frederick County, Maryland",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24031,"Montgomery County, Maryland",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24033,"Prince George's County, Maryland",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51013,"Arlington County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51043,"Clarke County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51047,"Culpeper County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51059,"Fairfax County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51061,"Fauquier County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51107,"Loudoun County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51153,"Prince William County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51157,"Rappahannock County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51177,"Spotsylvania County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51179,"Stafford County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51187,"Warren County, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51510,"Alexandria city, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51600,"Fairfax city, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51610,"Falls Church city, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51630,"Fredericksburg city, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51683,"Manassas city, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51685,"Manassas Park city, Virginia",1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",54037,"Jefferson County, West Virginia",1
47920,"Washington Court House, OH",39047,"Fayette County, Ohio",0
47930,"Waterbury-Shelton, CT",9140,"Naugatuck Valley Planning Region, Connecticut",1
47940,"Waterloo-Cedar Falls, IA",19013,"Black Hawk County, Iowa",1
47940,"Waterloo-Cedar Falls, IA",19017,"Bremer County, Iowa",1
47940,"Waterloo-Cedar Falls, IA",19075,"Grundy County, Iowa",1
47980,"Watertown, SD",46029,"Codington County, South Dakota",0
48020,"Watertown-Fort Atkinson, WI",55055,"Jefferson County, Wisconsin",0
48060,"Watertown-Fort Drum, NY",36045,"Jefferson County, New York",1
48140,"Wausau, WI",55073,"Marathon County, Wisconsin",1
48180,"Waycross, GA",13229,"Pierce County, Georgia",0
48180,"Waycross, GA",13299,"Ware County, Georgia",0
48200,"Waynesville, NC",37087,"Haywood County, North Carolina",0
48220,"Weatherford, OK",40039,"Custer County, Oklahoma",0
48220,"Weatherford, OK",40149,"Washita County, Oklahoma",0
48260,"Weirton-Steubenville, WV-OH",39081,"Jefferson County, Ohio",1
